label,side,entry_time,exit_time,entry,exit,reason,pnl_pct,bars_held
5m+1h|thr18,long,2021-03-31 18:45:00,2021-03-31 18:55:00,33068.7,33077.8,score,0.036673083897542216,2
5m+1h|thr18,long,2021-03-31 19:10:00,2021-03-31 19:15:00,33098.7,33094.3,score,-0.02045513092578527,1
5m+1h|thr18,long,2021-03-31 19:45:00,2021-03-31 19:50:00,33113.2,33100.3,score,-0.07460227076560395,1
5m+1h|thr18,long,2021-03-31 20:05:00,2021-03-31 20:15:00,33121.2,33114.8,score,-0.043652750868409654,2
5m+1h|thr18,long,2021-03-31 20:35:00,2021-03-31 20:40:00,33131.2,33110.09285714285,sl,-0.13110636015295912,1
5m+1h|thr18,long,2021-03-31 20:55:00,2021-03-31 21:05:00,33130.2,33117.8,score,-0.07703406318399944,2
5m+1h|thr18,long,2021-03-31 21:20:00,2021-03-31 21:30:00,33101.2,33116.3,score,0.0794057516198203,2
5m+1h|thr18,long,2021-03-31 21:50:00,2021-03-31 22:00:00,33087.7,33098.8,score,0.04971996226230573,2
5m+1h|thr18,short,2021-04-01 04:55:00,2021-04-01 05:00:00,33018.3,33032.49642857143,sl,-0.13031621305841082,1
5m+1h|thr18,short,2021-04-01 09:50:00,2021-04-01 09:55:00,33029.3,33045.31785714286,sl,-0.1290130509278267,1
5m+1h|thr18,short,2021-04-01 10:55:00,2021-04-01 10:55:00,33039.3,33052.2,score,-0.07747022477777228,0
5m+1h|thr18,short,2021-04-01 11:10:00,2021-04-01 11:10:00,33043.3,33053.7,score,-0.05952869747392271,0
5m+1h|thr18,short,2021-04-01 11:30:00,2021-04-01 11:40:00,33047.3,33055.7,score,-0.05054117247837756,2
5m+1h|thr18,long,2021-04-01 12:35:00,2021-04-01 12:40:00,33050.2,33055.3,score,0.039025028839339455,1
5m+1h|thr18,long,2021-04-01 12:55:00,2021-04-01 13:05:00,33054.7,33038.41428571428,sl,-0.1262377697596411,2
5m+1h|thr18,long,2021-04-01 13:35:00,2021-04-01 13:40:00,33022.2,33031.8,score,0.07858101844749137,1
5m+1h|thr18,long,2021-04-01 13:55:00,2021-04-01 14:00:00,33020.7,33025.8,score,0.04072267501320522,1
5m+1h|thr18,long,2021-04-01 15:30:00,2021-04-01 15:30:00,33067.7,33050.12857142857,sl,-0.12616842899665165,0
5m+1h|thr18,long,2021-04-01 15:50:00,2021-04-01 16:05:00,33068.7,33069.3,score,0.004031572163483228,3
5m+1h|thr18,long,2021-04-01 16:25:00,2021-04-01 16:35:00,33082.2,33062.00357142857,sl,-0.12494706042831998,2
5m+1h|thr18,long,2021-04-01 18:45:00,2021-04-01 18:45:00,33104.7,33102.3,score,-0.008645322970520921,0
5m+1h|thr18,long,2021-04-01 19:05:00,2021-04-01 19:15:00,33132.2,33142.8,score,0.04036059993533695,2
5m+1h|thr18,long,2021-04-01 20:35:00,2021-04-01 20:45:00,33161.2,33141.8,score,-0.12371865597221865,2
5m+1h|thr18,long,2021-04-01 21:05:00,2021-04-01 21:10:00,33153.2,33142.3,score,-0.07219982678523916,1
