model,phase,n,accuracy,majority_baseline,edge_vs_majority_pp,no_edge_flag,precision_0,recall_0,precision_1,recall_1,roc_auc,bucket_accuracy_monotonic,up_rate,pred_up_rate,mean_p_up,bucket,bucket_n,bucket_accuracy,bucket_mean_p_up,bucket_actual_up_rate
B_y1,walk_forward_oos,32803,0.5148919306161022,0.5039782946681706,1.09136359479316,True,0.514297124600639,0.39573474279392784,0.5152590839619385,0.6321679167674813,0.5219189761403168,False,0.5039782946681706,0.6183275919885376,0.5075629266721158,0.55-0.60,2380,0.5365546218487395,0.5637868561082434,0.5365546218487395
B_y1,walk_forward_oos,32803,0.5148919306161022,0.5039782946681706,1.09136359479316,True,0.514297124600639,0.39573474279392784,0.5152590839619385,0.6321679167674813,0.5219189761403168,False,0.5039782946681706,0.6183275919885376,0.5075629266721158,0.60-0.65,55,0.6363636363636364,0.6143929915142475,0.6363636363636364
B_y1,walk_forward_oos,32803,0.5148919306161022,0.5039782946681706,1.09136359479316,True,0.514297124600639,0.39573474279392784,0.5152590839619385,0.6321679167674813,0.5219189761403168,False,0.5039782946681706,0.6183275919885376,0.5075629266721158,0.65+,9,0.2222222222222222,0.6644616446122137,0.2222222222222222
B_y1,holdout_10pct,4448,0.5074190647482014,0.506294964028777,0.11241007194243702,True,0.5157622739018087,0.44316163410301956,0.5009948269001194,0.5733151183970856,0.5084622209927949,True,0.493705035971223,0.5649730215827338,0.5026217176958916,0.50-0.55,2501,0.5001999200319872,0.5172295137481998,0.5001999200319872
B_y1,holdout_10pct,4448,0.5074190647482014,0.506294964028777,0.11241007194243702,True,0.5157622739018087,0.44316163410301956,0.5009948269001194,0.5733151183970856,0.5084622209927949,True,0.493705035971223,0.5649730215827338,0.5026217176958916,0.55-0.60,12,0.6666666666666666,0.5569300425778795,0.6666666666666666
B_y1,holdout_10pct,4448,0.5074190647482014,0.506294964028777,0.11241007194243702,True,0.5157622739018087,0.44316163410301956,0.5009948269001194,0.5733151183970856,0.5084622209927949,True,0.493705035971223,0.5649730215827338,0.5026217176958916,0.60-0.65,0,,,
B_y1,holdout_10pct,4448,0.5074190647482014,0.506294964028777,0.11241007194243702,True,0.5157622739018087,0.44316163410301956,0.5009948269001194,0.5733151183970856,0.5084622209927949,True,0.493705035971223,0.5649730215827338,0.5026217176958916,0.65+,0,,,
B_y5,walk_forward_oos,32803,0.5194951681248666,0.5095570527085937,0.9938115416272875,True,0.5138018628281118,0.3771755345599204,0.5226980422045444,0.6564762189650015,0.522805682268314,False,0.5095570527085937,0.6399719537847148,0.5152426816710284,0.50-0.55,14155,0.5156481808548217,0.5237066038272503,0.5156481808548217
B_y5,walk_forward_oos,32803,0.5194951681248666,0.5095570527085937,0.9938115416272875,True,0.5138018628281118,0.3771755345599204,0.5226980422045444,0.6564762189650015,0.522805682268314,False,0.5095570527085937,0.6399719537847148,0.5152426816710284,0.55-0.60,5887,0.5406828605401732,0.5696743704414658,0.5406828605401732
B_y5,walk_forward_oos,32803,0.5194951681248666,0.5095570527085937,0.9938115416272875,True,0.5138018628281118,0.3771755345599204,0.5226980422045444,0.6564762189650015,0.522805682268314,False,0.5095570527085937,0.6399719537847148,0.5152426816710284,0.60-0.65,879,0.5039817974971559,0.6154524275923398,0.5039817974971559
B_y5,walk_forward_oos,32803,0.5194951681248666,0.5095570527085937,0.9938115416272875,True,0.5138018628281118,0.3771755345599204,0.5226980422045444,0.6564762189650015,0.522805682268314,False,0.5095570527085937,0.6399719537847148,0.5152426816710284,0.65+,72,0.6666666666666666,0.6693103840375341,0.6666666666666666
B_y5,holdout_10pct,4448,0.49505395683453235,0.5017985611510791,-0.6744604316546776,True,0.49622844827586204,0.41263440860215056,0.49421296296296297,0.5780685920577617,0.48577124820465045,False,0.4982014388489209,0.5827338129496403,0.5076440990640315,0.50-0.55,2227,0.4984283789851819,0.5239995589636319,0.4984283789851819
B_y5,holdout_10pct,4448,0.49505395683453235,0.5017985611510791,-0.6744604316546776,True,0.49622844827586204,0.41263440860215056,0.49421296296296297,0.5780685920577617,0.48577124820465045,False,0.4982014388489209,0.5827338129496403,0.5076440990640315,0.55-0.60,365,0.4684931506849315,0.5599107361345869,0.4684931506849315
B_y5,holdout_10pct,4448,0.49505395683453235,0.5017985611510791,-0.6744604316546776,True,0.49622844827586204,0.41263440860215056,0.49421296296296297,0.5780685920577617,0.48577124820465045,False,0.4982014388489209,0.5827338129496403,0.5076440990640315,0.60-0.65,0,,,
