combo,side,entry_time,exit_time,entry,exit,reason,pnl,r_multiple,bars_held
5m+30m,long,2023-01-11 06:25:00,2023-01-11 07:05:00,1.07357,1.0741217857142855,tp,1191.61499908804,1.6666666666666667,8
5m+30m,short,2023-01-19 09:30:00,2023-01-19 09:30:00,1.07929,1.0801460714285713,sl,-726.8851494437044,-1.0,0
5m+30m,long,2023-01-19 23:25:00,2023-01-19 23:45:00,1.08328,1.08304,signal,-320.46530962355826,-0.4453280318091836,4
5m+30m,long,2023-01-24 01:05:00,2023-01-24 01:10:00,1.08711,1.0868496428571428,sl,-716.4116448530318,-1.0,1
5m+30m,long,2023-01-31 17:35:00,2023-01-31 18:00:00,1.08558,1.08551,signal,-40.754182224367625,-0.05746115508649965,5
5m+30m,short,2023-02-07 11:40:00,2023-02-07 12:20:00,1.07209,1.07177,signal,200.86041365524775,0.28336495888686547,8
5m+30m,long,2023-02-23 23:50:00,2023-02-23 23:55:00,1.05972,1.0594285714285714,sl,-710.8485907188103,-1.0,1
5m+30m,long,2023-02-28 12:25:00,2023-02-28 12:30:00,1.0611199999999998,1.0610600000000001,signal,-46.20099164041166,-0.06565064478281905,1
5m+30m,long,2023-03-08 14:50:00,2023-03-08 15:15:00,1.05425,1.0538235714285713,sl,-703.2780948952181,-1.0,5
5m+30m,long,2023-03-17 20:15:00,2023-03-17 20:20:00,1.06731,1.06698,signal,-362.23573766124116,-0.520270270270282,1
5m+30m,long,2023-03-27 13:50:00,2023-03-27 14:20:00,1.07677,1.0777682142857143,tp,1154.3715942829272,1.6666666666669139,6
5m+30m,long,2023-03-29 05:10:00,2023-03-29 05:15:00,1.0844799999999999,1.0842800000000001,signal,-338.774344163749,-0.4810996563569166,1
5m+30m,long,2023-03-30 09:40:00,2023-03-30 10:05:00,1.08388,1.0831567857142856,sl,-700.7789290708455,-1.0,5
5m+30m,short,2023-04-05 09:25:00,2023-04-05 10:00:00,1.09531,1.09545,signal,-182.7676658560763,-0.26344086021508073,7
5m+30m,long,2023-04-07 15:10:00,2023-04-07 15:10:00,1.09171,1.09144,sl,-691.9434631215762,-1.0,0
5m+30m,short,2023-04-17 13:10:00,2023-04-17 13:25:00,1.09769,1.0979999999999999,signal,-323.8566757783998,-0.47276688453120014,3
5m+30m,long,2023-04-21 12:40:00,2023-04-21 12:45:00,1.09582,1.0956000000000001,signal,-177.4312819717352,-0.2602450359103298,1
5m+30m,short,2023-05-12 12:55:00,2023-05-12 12:55:00,1.0907,1.09116,signal,-456.8880332810159,-0.6718831507563479,0
5m+30m,long,2023-05-19 03:20:00,2023-05-19 03:45:00,1.07762,1.07739,signal,-555.5361698151363,-0.8224776500632901,5
5m+30m,long,2023-05-31 00:30:00,2023-05-31 01:15:00,1.0732599999999999,1.07314,signal,-189.46296356237278,-0.2828282828280079,9
5m+30m,long,2023-06-08 04:55:00,2023-06-08 05:15:00,1.07089,1.0707,signal,-347.3821031229353,-0.5200391006838889,4
5m+30m,short,2023-06-16 05:35:00,2023-06-16 05:55:00,1.09419,1.0935739285714288,tp,1107.5307603585406,1.6666666666668668,4
5m+30m,short,2023-06-16 12:15:00,2023-06-16 12:35:00,1.0941800000000002,1.09475,signal,-609.1794616125554,-0.9016949152539777,4
5m+30m,short,2023-06-26 18:20:00,2023-06-26 18:20:00,1.09115,1.09127,signal,-120.74753711853444,-0.18035426731061924,0
5m+30m,long,2023-07-04 05:00:00,2023-07-04 05:00:00,1.09113,1.09091,signal,-423.5281977364763,-0.6337448559667123,0
5m+30m,long,2023-07-07 00:30:00,2023-07-07 00:45:00,1.08883,1.08867,signal,-403.11453510894967,-0.6070460704603644,3
5m+30m,long,2023-07-07 15:30:00,2023-07-07 15:30:00,1.08925,1.0905910714285716,tp,1100.0467775048355,1.6666666666667587,0
5m+30m,long,2023-07-12 00:30:00,2023-07-12 00:55:00,1.1006099999999999,1.1005,signal,-203.22201431400725,-0.3028515240900931,5
5m+30m,short,2023-07-17 17:30:00,2023-07-17 17:40:00,1.12201,1.1229882142857142,sl,-668.9963141347731,-1.0,2
5m+30m,long,2023-07-17 20:05:00,2023-07-17 20:30:00,1.12345,1.12323,signal,-430.3594010675532,-0.6497890295360089,5
5m+30m,long,2023-08-07 18:00:00,2023-08-07 18:05:00,1.10025,1.09939,signal,-689.4998428261182,-1.0478677110530619,1
5m+30m,short,2023-08-10 00:40:00,2023-08-10 00:40:00,1.09729,1.09733,signal,-62.488490966400896,-0.09597257926265591,0
5m+30m,short,2023-08-18 20:25:00,2023-08-18 20:40:00,1.08701,1.087537142857143,sl,-650.4828736448246,-1.0,3
5m+30m,long,2023-08-21 07:20:00,2023-08-21 07:30:00,1.0883399999999999,1.0881096428571428,sl,-643.9780449083764,-1.0,2
5m+30m,short,2023-08-21 18:25:00,2023-08-21 18:35:00,1.08861,1.0885399999999998,signal,64.17950684870944,0.10066769388836794,2
5m+30m,short,2023-08-28 01:30:00,2023-08-28 02:10:00,1.07954,1.0798485714285713,sl,-638.1800595277798,-1.0,8
5m+30m,long,2023-08-28 08:10:00,2023-08-28 08:30:00,1.0808799999999998,1.0812567857142856,tp,1052.997098221457,1.6666666666676488,4
5m+30m,short,2023-09-07 09:35:00,2023-09-07 09:40:00,1.0715700000000001,1.0720735714285716,sl,-642.3282299147165,-1.0,1
5m+30m,short,2023-09-08 21:10:00,2023-09-08 21:45:00,1.07053,1.0699442857142858,tp,1059.8415793591482,1.666666666666456,7
5m+30m,long,2023-10-05 13:30:00,2023-10-05 14:00:00,1.05155,1.05118,signal,-402.2687594545835,-0.6222222222222139,6
5m+30m,long,2023-10-18 06:45:00,2023-10-18 06:50:00,1.0575299999999999,1.05721,signal,-661.6812477350408,-1.0298850574705316,1
5m+30m,short,2023-10-18 15:00:00,2023-10-18 15:05:00,1.05599,1.05654,signal,-624.1111214400313,-0.9815168897387088,1
5m+30m,short,2023-10-25 11:50:00,2023-10-25 12:20:00,1.0586900000000001,1.0575810714285714,tp,1049.3712535381774,1.666666666666778,6
5m+30m,long,2023-11-03 06:15:00,2023-11-03 06:35:00,1.06279,1.062607857142857,sl,-640.1164646582461,-1.0,4
5m+30m,short,2023-11-06 16:55:00,2023-11-06 17:10:00,1.0737,1.0726196428571428,tp,1056.1921666862506,1.666666666666895,3
5m+30m,long,2023-11-13 07:55:00,2023-11-13 08:00:00,1.06867,1.0684846428571428,sl,-644.2772216785261,-1.0,1
5m+30m,short,2023-11-14 05:10:00,2023-11-14 05:25:00,1.06955,1.06976,signal,-555.6246759756549,-0.8711111111112585,3
5m+30m,long,2023-12-08 14:40:00,2023-12-08 14:40:00,1.07842,1.077949642857143,sl,-632.2782027019842,-1.0,0
5m+30m,short,2023-12-21 12:30:00,2023-12-21 12:30:00,1.0941400000000001,1.0942399999999999,signal,-111.06940290784392,-0.17743979721124287,0
5m+30m,long,2023-12-27 08:00:00,2023-12-27 08:10:00,1.10441,1.1041592857142857,sl,-624.844726645886,-1.0,2
5m+30m,short,2023-12-28 18:05:00,2023-12-28 18:15:00,1.1098400000000002,1.1083417857142859,tp,1030.9937989658138,1.6666666666668313,2
5m+30m,short,2023-12-29 20:05:00,2023-12-29 20:30:00,1.10528,1.1056,signal,-275.0121868045463,-0.43728648121020286,5
5m+30m,long,2024-01-04 00:00:00,2024-01-04 00:00:00,1.09211,1.0917542857142857,sl,-626.1560955010399,-1.0,0
5m+30m,long,2024-01-04 07:55:00,2024-01-04 08:20:00,1.0927099999999998,1.0932492857142855,tp,1033.1575575765737,1.6666666666664378,5
5m+30m,short,2024-01-08 12:15:00,2024-01-08 12:20:00,1.0936000000000001,1.09384,signal,-221.96642872190404,-0.3522012578612581,1
5m+30m,short,2024-01-09 12:05:00,2024-01-09 12:25:00,1.0941100000000001,1.0947592857142858,sl,-628.0064458345761,-1.0,4
5m+30m,short,2024-01-17 07:10:00,2024-01-17 07:45:00,1.08661,1.0860742857142858,tp,1036.2106356270506,1.6666666666666667,7
5m+30m,long,2024-01-30 00:35:00,2024-01-30 00:40:00,1.08315,1.08288,signal,-475.48148927946016,-0.7522388059702859,1
5m+30m,long,2024-02-01 16:25:00,2024-02-01 16:30:00,1.0820999999999998,1.081272857142857,sl,-627.3336728397063,-1.0,1
