symbol,name,base,htf,entry_thr,exit_mode,exit_thr,htf_m_min,sl_atr,tp_atr,trail_atr,be_at_r,sides,session,n,ret,pf,wr,dd,sharpe,avg_bars,final,score
US30,30min+4h_e35_neg_hm12_s1.5_t3.5_both,30min,4h,35.0,neg,10.0,12.0,1.5,3.5,0.0,0.0,both,all,1520,-23.366450787843295,0.9515196670676408,44.078947368421055,-44.68739894520657,-0.19075597434611596,2.9730263157894736,76633.54921215671,-19.829488783172067
US30,30min+4h_e35_neg_hm12_s1.5_t3.5_long,30min,4h,35.0,neg,10.0,12.0,1.5,3.5,0.0,0.0,long,all,886,-15.199548020069386,0.947783824268321,45.71106094808126,-34.7015712033949,-0.18922684082939675,2.108352144469526,84800.45197993061,-19.110425469511863
US30,30min+4h_e35_neg_hm12_s2.0_t4.0_both,30min,4h,35.0,neg,10.0,12.0,2.0,4.0,0.0,0.0,both,all,1505,-9.856678750873193,0.976091870274,46.37873754152824,-37.333302096544415,-0.05288020999348981,3.310299003322259,90143.3212491268,-18.726689873201938
US30,30min+4h_e35_neg_hm12_s2.0_t4.0_long,30min,4h,35.0,neg,10.0,12.0,2.0,4.0,0.0,0.0,long,all,878,-12.127896423415175,0.9483142661267684,47.380410022779046,-30.744251280650325,-0.18264498649461,2.349658314350797,87872.10357658482,-18.818067722587614
US30,30min+4h_e35_neg_hm25_s1.5_t2.5_both,30min,4h,35.0,neg,10.0,25.0,1.5,2.5,0.0,0.0,both,all,1046,-45.40791131573732,0.8474953921740636,42.92543021032505,-52.872363821742105,-0.7575257452309042,2.8097514340344167,54592.08868426268,-22.148761142910374
US30,30min+4h_e35_neg_hm25_s1.5_t2.5_long,30min,4h,35.0,neg,10.0,25.0,1.5,2.5,0.0,0.0,long,all,596,-13.37531871250366,0.9286471448684065,45.97315436241611,-31.462119535367037,-0.23535962793443627,2.0738255033557045,86624.68128749634,-19.024919109645467
US30,30min+4h_e35_neg_hm25_s1.5_t3.5_both,30min,4h,35.0,neg,10.0,25.0,1.5,3.5,0.0,0.0,both,all,1039,-38.92248425016823,0.8755991685784751,42.25216554379211,-48.45539030218109,-0.5657181163575974,2.934552454282964,61077.515749831764,-21.35469423518418
US30,30min+4h_e35_neg_hm25_s1.5_t3.5_long,30min,4h,35.0,neg,10.0,25.0,1.5,3.5,0.0,0.0,long,all,589,-9.253591509114356,0.9518847269613878,45.67062818336163,-30.512365142014364,-0.13248045210782677,2.164685908319185,90746.40849088565,-18.60964712680342
US30,30min+4h_e35_neg_hm25_s2.0_t4.0_both,30min,4h,35.0,neg,10.0,25.0,2.0,4.0,0.0,0.0,both,all,1030,-29.599970342698512,0.8913978412997581,44.36893203883495,-39.653733021593965,-0.48486601893385933,3.2864077669902914,70400.0296573015,-20.468952559723093
US30,30min+4h_e35_neg_hm25_s2.0_t4.0_long,30min,4h,35.0,neg,10.0,25.0,2.0,4.0,0.0,0.0,long,all,585,-13.224910087659158,0.9147820430685414,46.666666666666664,-30.67917273463977,-0.2745709355181049,2.4017094017094016,86775.08991234085,-19.081064608497762
US30,1h+1d_e15_zero_hm0_s1.5_t2.5_both,1h,1d,15.0,zero,0.0,0.0,1.5,2.5,0.0,0.0,both,all,1557,1.0078216228815995,1.001655112363088,45.92164418754014,-31.457172525707666,0.06533353995167235,2.1104688503532434,101007.8216228816,-17.815835945277815
US30,1h+1d_e15_zero_hm0_s1.5_t2.5_long,1h,1d,15.0,zero,0.0,0.0,1.5,2.5,0.0,0.0,long,all,1128,5.656626338480031,1.012364033766929,46.187943262411345,-21.523530839397054,0.11606496863345314,1.5611702127659575,105656.62633848003,-17.12966864266918
US30,1h+1d_e15_zero_hm0_s1.5_t3.5_both,1h,1d,15.0,zero,0.0,0.0,1.5,3.5,0.0,0.0,both,all,1547,28.798079009425017,1.0444965395672219,45.11958629605689,-29.319141416559358,0.33126466532188553,2.233354880413704,128798.07900942503,-16.11270414938449
