side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
-1,2021-03-23 09:00:00,2021-03-23 10:00:00,32670.3,32686.746428571427,sl,-354.2836417226012,12,A_5m_30m_1h,short
-1,2021-03-23 10:10:00,2021-03-23 10:15:00,32674.3,32694.60357142857,sl,-350.7408053053752,1,A_5m_30m_1h,short
-1,2021-03-23 12:20:00,2021-03-23 13:00:00,32629.3,32576.085714285713,tp,578.722328753856,8,A_5m_30m_1h,short
-1,2021-03-23 13:35:00,2021-03-23 13:55:00,32578.3,32608.72857142857,sl,-353.02062053986003,4,A_5m_30m_1h,short
-1,2021-03-23 14:10:00,2021-03-23 14:20:00,32585.3,32614.97857142857,sl,-349.4904143344615,2,A_5m_30m_1h,short
-1,2021-03-23 14:55:00,2021-03-23 16:30:00,32622.8,32647.496428571427,sl,-345.99551019111686,19,A_5m_30m_1h,short
-1,2021-03-23 18:40:00,2021-03-23 19:00:00,32690.3,32742.210714285713,sl,-342.5355550892057,4,A_5m_30m_1h,short
-1,2021-03-23 21:55:00,2021-03-23 22:00:00,32559.8,32486.139285714286,tp,565.1836658971987,1,A_5m_30m_1h,short
-1,2021-03-23 23:50:00,2021-03-24 05:30:00,32441.8,32358.317857142858,tp,574.6033936621259,56,A_5m_30m_1h,short
-1,2021-03-24 06:10:00,2021-03-24 06:25:00,32373.3,32397.567857142858,sl,-350.5080701339068,3,A_5m_30m_1h,short
-1,2021-03-24 08:20:00,2021-03-24 08:30:00,32386.3,32404.835714285713,sl,-347.0029894325677,2,A_5m_30m_1h,short
-1,2021-03-24 08:50:00,2021-03-24 09:50:00,32388.3,32411.55,sl,-343.532959538242,12,A_5m_30m_1h,short
1,2021-03-24 17:40:00,2021-03-24 20:10:00,32712.7,32641.02142857143,sl,-340.09762994285956,30,A_5m_30m_1h,long
-1,2021-03-24 22:25:00,2021-03-24 22:55:00,32564.8,32452.389285714286,tp,561.1610894057243,6,A_5m_30m_1h,short
-1,2021-03-24 23:55:00,2021-03-25 02:20:00,32447.3,32488.710714285713,sl,-342.3082645374882,17,A_5m_30m_1h,short
-1,2021-03-25 02:50:00,2021-03-25 03:00:00,32488.8,32506.746428571427,sl,-338.88518189211334,2,A_5m_30m_1h,short
-1,2021-03-25 03:30:00,2021-03-25 03:55:00,32504.3,32524.014285714286,sl,-335.4963300731922,5,A_5m_30m_1h,short
-1,2021-03-25 04:05:00,2021-03-25 04:15:00,32511.8,32479.389285714286,tp,553.568944620788,2,A_5m_30m_1h,short
-1,2021-03-25 06:05:00,2021-03-25 08:50:00,32540.3,32496.10357142857,tp,562.795093697734,33,A_5m_30m_1h,short
-1,2021-03-25 09:55:00,2021-03-25 10:50:00,32522.3,32489.889285714286,tp,572.1750119260973,11,A_5m_30m_1h,short
-1,2021-03-25 15:20:00,2021-03-25 15:30:00,32299.3,32346.764285714286,sl,-349.0267572749066,2,A_5m_30m_1h,short
-1,2021-03-25 16:00:00,2021-03-25 16:40:00,32278.8,32188.889285714286,tp,575.8941495036036,8,A_5m_30m_1h,short
-1,2021-03-25 17:30:00,2021-03-25 17:50:00,32251.8,32101.085714285713,tp,585.4923853286512,4,A_5m_30m_1h,short
1,2021-03-26 01:40:00,2021-03-26 02:20:00,32641.2,32681.02142857143,tp,595.2505917507457,8,A_5m_30m_1h,long
1,2021-03-26 03:10:00,2021-03-26 03:10:00,32695.7,32672.02142857143,sl,-363.1028609679875,0,A_5m_30m_1h,long
1,2021-03-26 03:35:00,2021-03-26 03:40:00,32665.7,32639.878571428573,sl,-359.47183235830767,1,A_5m_30m_1h,long
1,2021-03-26 04:20:00,2021-03-26 05:00:00,32635.2,32678.77142857143,tp,593.1285233911581,8,A_5m_30m_1h,long
1,2021-03-26 07:30:00,2021-03-26 08:35:00,32707.7,32731.27142857143,tp,603.0139987809672,13,A_5m_30m_1h,long
1,2021-03-26 09:25:00,2021-03-26 09:30:00,32755.7,32742.682142857142,sl,-367.8385392564458,1,A_5m_30m_1h,long
