side,horizon,n,hit_rate,mean_ret,median_ret,mean_mfe,mean_mae,mfe_mae_ratio,p25,p75,symbol,set,ltf
any,8,3636,47.99229922992299,-0.0010332763839365736,-0.005149612380088533,0.1365670511607065,0.13594801911574958,1.0045534465965984,-0.09254637880364164,0.08538701143576749,EURUSD,C_30m_4h_1d,30min
any,10,3636,48.5973597359736,0.001141701793384602,-0.0037201171198607214,0.15468791515744462,0.1532695364567967,1.0092541462148137,-0.10448191657190717,0.0996070548380113,EURUSD,C_30m_4h_1d,30min
any,15,3636,48.872387238723874,-0.0020184839917713284,-0.00424976916923996,0.1939061681542017,0.1938729440044484,1.0001713707393463,-0.13244206520541457,0.12540055688851406,EURUSD,C_30m_4h_1d,30min
any,20,3636,48.07480748074808,-0.0011851438181547875,-0.008851014201852707,0.22561399295472717,0.22646543535971453,0.9962402986414464,-0.15694945176437322,0.15332918330354156,EURUSD,C_30m_4h_1d,30min
long,1,11571,47.921527957825596,-0.0006684860136512832,0.0,0.029383127412049775,0.028963386996384257,1.0144921039696744,-0.017517135812556713,0.016113771692067774,US30,A_5m_30m_1h,5min
long,2,11571,48.189439115028954,-0.001854913539065037,0.0,0.041175408591204735,0.04246166378870766,0.9697078474384936,-0.024908849218195275,0.023145590040922086,US30,A_5m_30m_1h,5min
long,3,11571,48.47463486301962,-0.0016604322392969697,0.0,0.05107847253395107,0.052437077181629516,0.9740907632404345,-0.030584492537882257,0.02902191863020017,US30,A_5m_30m_1h,5min
long,5,11571,49.304295220810644,-0.0015354349725856427,0.0,0.06592699447107214,0.06843348519734466,0.9633733293132092,-0.038511105652400957,0.03735448097938505,US30,A_5m_30m_1h,5min
long,8,11571,49.036384063607294,-0.0016190503997347851,0.0,0.0841542458088646,0.0874581449853282,0.9622230819437361,-0.048038695025225536,0.049903929060579666,US30,A_5m_30m_1h,5min
long,10,11571,49.96110967072854,-0.0008788691594388498,0.0,0.09473143973665436,0.09849443280237365,0.9617948653679784,-0.05404461739948466,0.05633130114182615,US30,A_5m_30m_1h,5min
long,15,11571,50.81669691470054,0.0006311920265349673,0.0014294331725697492,0.11896433197189715,0.12170488319131803,0.9774819945793566,-0.06612969982362893,0.06982920004845641,US30,A_5m_30m_1h,5min
long,20,11571,50.93768905021173,0.0013878605938621265,0.0020239965025340436,0.1388838873814033,0.14166998026066785,0.9803339220197658,-0.0749110775413662,0.08281563013414023,US30,A_5m_30m_1h,5min
short,1,8188,49.084025403028825,-0.0013735550415530898,0.0,0.04002403759211671,0.04241674844232711,0.9435904226967397,-0.02365210764405585,0.023279659721145513,US30,A_5m_30m_1h,5min
short,2,8188,48.49780166096727,-0.00161458247248696,0.0,0.058266010076925834,0.059968637711668236,0.9716080321362525,-0.034539311695913774,0.034270196052895434,US30,A_5m_30m_1h,5min
short,3,8188,49.09623839765511,-0.0013304902134090293,0.0,0.0726000630755759,0.07372758430116601,0.9847069284003074,-0.04437377987884998,0.04255363726212197,US30,A_5m_30m_1h,5min
short,5,8188,48.400097703957016,-0.0010990061306489426,0.0,0.09573766835029812,0.09458318650112574,1.012205994446578,-0.05935927312510003,0.05403661077933143,US30,A_5m_30m_1h,5min
short,8,8188,47.496336101612115,-0.004029161384580223,-0.0023520231773143893,0.12173668429001225,0.12134478518728702,1.0032296328360577,-0.0753739648621752,0.06777077610081256,US30,A_5m_30m_1h,5min
short,10,8188,47.0200293111871,-0.00424993706318417,-0.0038023258679679432,0.13603103881332942,0.13560682359384654,1.0031282734027709,-0.08711794382202578,0.0761501281605388,US30,A_5m_30m_1h,5min
short,15,8188,46.66585246702491,-0.007340426772022496,-0.0057750749488792354,0.16653004998296095,0.16610801589394283,1.0025407207878974,-0.1064385551986799,0.09136071555088922,US30,A_5m_30m_1h,5min
short,20,8188,46.23839765510503,-0.006751191858250642,-0.009417972174102571,0.19294977948828027,0.19188646879349106,1.005541353183864,-0.12604508830112243,0.10692975161575051,US30,A_5m_30m_1h,5min
any,1,19759,48.403259274254765,-0.0009606619942403812,0.0,0.033792650796552436,0.03453837173849571,0.9784089143637276,-0.019677853358475918,0.01901041426965507,US30,A_5m_30m_1h,5min
any,2,19759,48.31722253150463,-0.0017553219214152924,0.0,0.04825764174901052,0.049716438953503514,0.9706576489547589,-0.028199160812418685,0.026662328548725484,US30,A_5m_30m_1h,5min
any,3,19759,48.73222329065236,-0.001523706427870761,0.0,0.0599968784935049,0.06125972368675451,0.9793853919468027,-0.03562091593009746,0.0334003819345229,US30,A_5m_30m_1h,5min
any,5,19759,48.92960170049091,-0.0013545817230397293,0.0,0.07828034219732866,0.07926974990078914,0.9875184707319149,-0.04593797071501363,0.04309421349061489,US30,A_5m_30m_1h,5min
any,8,19759,48.39819828938711,-0.0026177845838490847,0.0,0.09972816181087063,0.10150054642131376,0.9825381766607815,-0.05752098277277258,0.055608508491046885,US30,A_5m_30m_1h,5min
any,10,19759,48.74234526038767,-0.002275817587793862,0.0,0.11184572270845536,0.11387356412483836,0.98219216697073,-0.06555782068855237,0.06280299108795089,US30,A_5m_30m_1h,5min
any,15,19759,49.096614201123536,-0.002672194517449471,0.0,0.13867525353040672,0.14010525014152256,0.9897934116696456,-0.08053018512296997,0.0770984468179258,US30,A_5m_30m_1h,5min
any,20,19759,48.99033351890278,-0.0019849093579522034,0.0,0.1612884384503394,0.16247936373689423,0.9926702981894777,-0.09425855617067788,0.08998506458413644,US30,A_5m_30m_1h,5min
