symbol,combo,variant,ret,pf,sh,dd,n,oos_pf,oos_ret,pos
GBPUSD,30m+4h,h_thr50_soft_min4_atr,-2.4985657365786618,0.8594896969012258,-0.1539788881217666,-8.664988238963744,33,0.76913512530036,-3.757970121079701,1
GBPUSD,30m+4h,h_thr50_nm515_soft,-14.883618669552368,0.6361314845200973,-0.785137742948625,-15.433302205218347,81,0.6965137960588403,-9.30180207884128,1
GBPUSD,30m+4h,h_thr50_nm515_hard,-20.208547809284617,0.5967109318351476,-0.9377212735386331,-21.183511134814637,78,0.6335263142278047,-15.996423519066283,0
GBPUSD,30m+4h,h_thr50_soft_min4_tp3,-6.811500215111588,0.766047776456738,-0.3280863237699413,-14.91073231376241,48,0.6215192576342983,-9.070190515556455,0
GBPUSD,30m+4h,h_thr45_hard,-8.35913814469238,0.7556750276198587,-0.38738090308589546,-13.607333473542438,51,0.7865150314648609,-6.164762231505183,1
GBPUSD,30m+4h,h_thr50_hard_rr12_25,-10.808161238511937,0.6939392914917467,-0.48711241601450683,-16.418685268528897,48,0.5799442196043781,-12.373189035424272,0
GBPUSD,30m+4h,anchor_soft55,-4.369169402467843,0.8091137937857138,-0.23616431626635298,-10.747408227125677,41,0.6079066309194271,-7.30014009130272,0
GBPUSD,1h+1d,h_thr50_hard,-8.50382091087688,0.6092299440029392,-0.5816783484137574,-12.930268686583446,30,0.5190024891659395,-9.137533099329886,1
GBPUSD,1h+1d,h_thr50_soft_min4,-5.308576219465733,0.6992143033750539,-0.3812259786802122,-8.61829528128304,31,0.7870571626527514,-6.002076982890703,1
GBPUSD,1h+1d,h_thr50_hard_atr,-1.4838067098256746,0.8873956505141107,-0.10711960478634219,-5.30290124547127,20,1.0964369288389837,-2.3118514775650296,1
GBPUSD,1h+1d,h_thr50_soft_atr,-0.7945384811181455,0.9190409515623182,-0.06470976077596564,-3.938952109746796,20,1.162545194827763,-1.8842569652689711,1
GBPUSD,1h+1d,h_thr50_soft_min4_atr,-1.7868483995549855,0.8343836357814919,-0.15435262452627532,-4.8749233458527,20,1.0974072622593423,-2.8562212399225517,1
GBPUSD,1h+1d,h_thr50_nm515_soft,-3.3112087207223806,0.8216179634146453,-0.32292250925733157,-7.300280861397058,34,0.6103439050037125,-5.205959959537088,0
GBPUSD,1h+1d,h_thr50_nm515_hard,-4.813818131620396,0.7916936720808067,-0.37205522031785515,-9.034344777823943,34,0.5586904860679094,-7.613274523195657,1
GBPUSD,1h+1d,h_thr50_soft_min4_tp3,-5.963430074212606,0.6810793794360466,-0.3814410245288734,-10.61577930087485,31,0.8224281030097451,-7.4534955479293,1
GBPUSD,1h+1d,h_thr45_hard,-2.249880572876428,0.9015174321592844,-0.11970916486351725,-10.265050965303946,34,0.6199141216098968,-7.526133292554971,1
GBPUSD,1h+1d,h_thr50_hard_rr12_25,-5.460560670846625,0.7547898739004237,-0.3099354647485535,-11.177444801472792,30,0.6474551903096925,-7.52859099625347,1
GBPUSD,1h+1d,anchor_soft55,-2.4408914407414994,0.8363675640320487,-0.1743609868718562,-7.304948892591401,29,1.4967455536563814,-4.026704659769653,1
