symbol,combo,variant,n_trades,total_return_pct,cagr_pct,max_dd_pct,sharpe,win_rate_pct,profit_factor,avg_bars,score,pct_tp,pct_sl,pct_signal,long_pnl,short_pnl,oos_ret,oos_pf,oos_sharpe,oos_trades,oos_score,pos_folds,n_folds,blend
EURUSD,1h+1d,rr_1.5_3.0,32,7.530070609607087,1.3827129372955271,-3.6969485543744907,0.42759694705784707,37.5,1.5107318786090387,9.5,4.629777575111707,34.375,37.5,28.125,2669.4396378367574,4860.630971770309,7.570655868181054,1.873395378323639,0.5875170903978689,21,3.7037729509258916,2,3,4.120475031809509
EURUSD,1h+1d,thr_0.8_soft,24,6.651047329233983,1.2254282691538387,-2.6527525991284384,0.46844669680697,41.66666666666667,1.6472015561193902,9.375,5.079280600540673,41.66666666666667,33.33333333333333,25.0,525.3089353975251,6125.738393836469,4.47863035567787,1.7706875769076247,0.4572403875343671,15,3.2720220386735788,2,3,4.085288391513771
EURUSD,1h+1d,rr_1.2_2.4,32,7.3383868935334995,1.348503869236839,-5.993455732100317,0.39774023200648606,37.5,1.4433293008541117,7.84375,4.282898667413906,37.5,43.75,18.75,3658.811596394926,3679.5752971385855,8.63172815457649,1.898611066578815,0.6295276218322179,21,3.8278308474517218,2,3,4.032611366434705
EURUSD,30m+4h,rr_1.5_3.0,37,1.3075544612832557,0.24310382945855746,-5.583241280146279,0.09066247057257547,35.13513513513514,1.0736333370129278,6.5675675675675675,2.6493973088958214,24.324324324324326,40.54054054054054,35.13513513513514,2467.284898316596,-1159.7304370333159,5.0857850221522005,1.4711237923877953,0.4089613086218847,26,5.10654739792994,3,3,4.000829857864587
EURUSD,1h+1d,thr_0.5_hard,33,6.933128296238733,1.2760155142697238,-5.914457273195451,0.3879295137229241,45.45454545454545,1.3857290950118162,12.454545454545455,4.116121467240391,45.45454545454545,54.54545454545454,0.0,-143.70854421694435,7076.836840455665,7.359951972984247,1.8476680292873844,0.7076859535924966,22,3.830464508693357,2,3,3.9590101400395223
EURUSD,1h+1d,exit_thr_1.0,32,6.9204573641863165,1.2737454836672768,-4.029655322997083,0.4164172091041747,43.75,1.4479188901954503,9.625,4.421558024830847,40.625,43.75,15.625,-172.7150305061034,7093.172394692412,6.029300207405064,1.6882472734790936,0.5902755788832842,21,3.322200917357165,2,3,3.816911615720322
EURUSD,1h+1d,exit_thr_0.7,32,7.085299482354168,1.3032603561814904,-3.36499445839874,0.43060505857312553,43.75,1.4783041827381405,9.15625,4.562426840718749,40.625,40.625,18.75,-39.91694047057058,7125.216422824709,6.159141080674734,1.6210528487971527,0.529824968294608,21,3.098434560842965,2,3,3.757231086787068
EURUSD,1h+1d,comp_E,31,0.8372897219937947,0.15783902467356725,-6.654101748955943,0.06632791512040788,32.25806451612903,1.0476663886769793,8.806451612903226,2.4668625089253426,29.03225806451613,48.38709677419355,22.58064516129032,1627.0824929416567,-789.7927709478496,1.1411035396316942,7.701456746120801,-0.1668440284852668,19,4.761144992668417,2,3,3.7287178749840333
EURUSD,30m+4h,rr_2.0_3.0,36,-0.4420124951808435,-0.08276466800117843,-5.514414810864343,-0.02257919581012676,36.11111111111111,0.9697729607084291,7.388888888888889,2.130713019703985,25.0,27.77777777777778,47.22222222222222,1297.4931839646763,-1739.5056791455254,3.638391767812421,1.4232803869162194,0.41874591665620114,25,5.011063566494864,3,3,3.714905820438969
EURUSD,1h+1d,rr_1.5_2.0,32,5.1381939509471675,0.9522530942195129,-3.644523969808644,0.36598408750322514,43.75,1.3805835244366467,6.5625,4.135964666626578,43.75,34.375,21.875,-159.0792116520313,5297.273162599212,5.809091560298418,1.6799736348879581,0.5948652470045154,21,3.3103360558856734,2,3,3.6818689307190806
EURUSD,30m+4h,thr_0.4_hard,54,12.949746100296423,2.302134373424103,-6.522063858117855,0.5323797441505734,46.2962962962963,1.403147571890854,8.185185185185185,4.559520147128317,46.2962962962963,53.70370370370371,0.0,4347.1615303274975,8602.584569968922,8.99000302629467,1.5551923092019664,0.46076280646153933,39,2.8914288583591885,2,3,3.6420699383052964
