side,bars_from_entry,n,hit_pct_at_H,mean_ret_at_H,median_ret_at_H,mean_mfe_in_H,mean_mae_in_H,first_close_favor_pct,first_close_adverse_pct,first_close_none_pct,first_ext_favor_pct,first_ext_adverse_pct,first_ext_none_pct,symbol,set,ltf
short,5,3786,45.16640253565768,-0.005107553788293854,-0.007294447193306157,0.06919978739956294,0.07231901348970045,47.46434231378764,52.53565768621235,0.0,4.226096143687269,95.77390385631274,0.0,EURUSD,B_15m_1h_4h,15min
any,5,7340,47.15258855585831,-0.003865402800646354,-0.0038368208568899734,0.07006700425096277,0.0731385249245601,47.002724795640326,52.997275204359674,0.0,4.059945504087194,95.9400544959128,0.0,EURUSD,B_15m_1h_4h,15min
long,10,3554,47.55205402363534,-0.0025537860696866685,-0.005082235537917759,0.10276466194046217,0.10729142300606044,46.51097355092853,53.48902644907147,0.0,3.8829487900956665,96.11705120990433,0.0,EURUSD,B_15m_1h_4h,15min
short,10,3786,47.35868991019546,-0.003296812010831263,-0.006888429047858894,0.09991353555257013,0.10194466227559246,47.46434231378764,52.53565768621235,0.0,4.226096143687269,95.77390385631274,0.0,EURUSD,B_15m_1h_4h,15min
any,10,7340,47.452316076294274,-0.0029370416845604336,-0.0058590603659811075,0.10129404007335598,0.10453354342492259,47.002724795640326,52.997275204359674,0.0,4.059945504087194,95.9400544959128,0.0,EURUSD,B_15m_1h_4h,15min
long,20,3554,46.87675858187957,-0.0021090479943900323,-0.009836137968573081,0.15046829650908003,0.153041112888021,46.51097355092853,53.48902644907147,0.0,3.8829487900956665,96.11705120990433,0.0,EURUSD,B_15m_1h_4h,15min
short,20,3785,47.50330250990753,-0.0060173064386269915,-0.008391530148895905,0.14243303718344294,0.14570324097375834,47.476882430647294,52.523117569352706,0.0,4.227212681638045,95.77278731836195,0.0,EURUSD,B_15m_1h_4h,15min
any,20,7339,47.19989099332334,-0.0041246847584501065,-0.009408142319539386,0.1463242092291323,0.1492566946845213,47.00912930917019,52.990870690829816,0.0,4.060498705545715,95.93950129445429,0.0,EURUSD,B_15m_1h_4h,15min
long,5,1661,48.585189644792294,-0.0036973371284081415,-0.0018358898099056372,0.10722670140620613,0.11242474090713303,47.92293798916315,52.07706201083685,0.0,4.093919325707406,95.9060806742926,0.0,EURUSD,C_30m_4h_1d,30min
short,5,1975,47.139240506329116,0.00020160574880519438,-0.006526989099929555,0.10533944925075969,0.10367991754079536,46.9873417721519,53.0126582278481,0.0,2.6835443037974684,97.31645569620252,0.0,EURUSD,C_30m_4h_1d,30min
any,5,3636,47.799779977997794,-0.0015795119957083788,-0.003729564230261967,0.10620158506764543,0.10767473371557172,47.41474147414741,52.58525852585259,0.0,3.3278327832783274,96.67216721672168,0.0,EURUSD,C_30m_4h_1d,30min
long,10,1661,48.34437086092716,-0.004458031237853714,-0.006487368167412512,0.1554161734739832,0.16069718530983726,47.92293798916315,52.07706201083685,0.0,4.093919325707406,95.9060806742926,0.0,EURUSD,C_30m_4h_1d,30min
short,10,1975,48.81012658227848,0.005851148155352624,-0.0030025521693413893,0.154075440694776,0.14702278975051797,46.9873417721519,53.0126582278481,0.0,2.6835443037974684,97.31645569620252,0.0,EURUSD,C_30m_4h_1d,30min
any,10,3636,48.5973597359736,0.001141701793384602,-0.0037201171198607214,0.15468791515744462,0.1532695364567967,47.41474147414741,52.58525852585259,0.0,3.3278327832783274,96.67216721672168,0.0,EURUSD,C_30m_4h_1d,30min
long,20,1661,47.7423239012643,0.0019427668264639262,-0.009502336710986816,0.22611391493464258,0.2308852740881983,47.92293798916315,52.07706201083685,0.0,4.093919325707406,95.9060806742926,0.0,EURUSD,C_30m_4h_1d,30min
short,20,1975,48.35443037974684,-0.003815756264084755,-0.007105489879105238,0.22519355224149198,0.222748295041734,46.9873417721519,53.0126582278481,0.0,2.6835443037974684,97.31645569620252,0.0,EURUSD,C_30m_4h_1d,30min
any,20,3636,48.07480748074808,-0.0011851438181547875,-0.008851014201852707,0.22561399295472717,0.22646543535971453,47.41474147414741,52.58525852585259,0.0,3.3278327832783274,96.67216721672168,0.0,EURUSD,C_30m_4h_1d,30min
long,5,11571,49.304295220810644,-0.0015354349725856427,0.0,0.06592699447107214,0.06843348519734466,49.49442571947109,50.38458214501772,0.12099213551119178,7.717569786535304,92.28243021346469,0.0,US30,A_5m_30m_1h,5min
short,5,8188,48.400097703957016,-0.0010990061306489426,0.0,0.09573766835029812,0.09458318650112574,50.45188080117244,49.340498290180754,0.2076209086468002,7.48656570591109,92.51343429408891,0.0,US30,A_5m_30m_1h,5min
any,5,19759,48.92960170049091,-0.0013545817230397293,0.0,0.07828034219732866,0.07926974990078914,49.89118882534541,49.951920643757276,0.1568905308973126,7.6218432106888,92.3781567893112,0.0,US30,A_5m_30m_1h,5min
long,10,11571,49.96110967072854,-0.0008788691594388498,0.0,0.09473143973665436,0.09849443280237365,49.572206378014,50.41050903119869,0.017284590787313113,7.717569786535304,92.28243021346469,0.0,US30,A_5m_30m_1h,5min
