side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
-1,2022-11-02 06:30:00,2022-11-02 10:00:00,0.9888300000000001,0.9899667857142858,sl,-604.7635049573406,7,C_30m_4h_1d,short
-1,2022-11-02 13:30:00,2022-11-02 14:30:00,0.98875,0.9906432142857143,sl,-598.7158699077671,2,C_30m_4h_1d,short
1,2022-11-02 20:00:00,2022-11-02 20:00:00,0.9880899999999999,0.992032857142857,tp,987.8811853478064,0,C_30m_4h_1d,long
-1,2022-11-02 21:00:00,2022-11-02 22:30:00,0.9884000000000001,0.9816589285714287,tp,1004.3458717702628,3,C_30m_4h_1d,short
-1,2022-11-03 07:30:00,2022-11-03 09:00:00,0.9827600000000001,0.9805617857142858,tp,1021.084969633134,3,C_30m_4h_1d,short
-1,2022-11-03 19:00:00,2022-11-04 06:00:00,0.9747300000000001,0.9777632142857143,sl,-622.8618314762015,22,C_30m_4h_1d,short
-1,2022-11-04 08:00:00,2022-11-04 08:30:00,0.9774700000000001,0.9787557142857144,sl,-616.6332131614395,1,C_30m_4h_1d,short
1,2022-11-07 04:00:00,2022-11-07 10:30:00,0.9931,0.9977160714285714,tp,1017.444801716375,13,C_30m_4h_1d,long
1,2022-11-07 15:00:00,2022-11-07 21:00:00,0.9987999999999999,1.0032017857142856,tp,1034.402215078332,12,C_30m_4h_1d,long
1,2022-11-08 02:30:00,2022-11-08 03:30:00,1.00221,1.001177142857143,sl,-630.9853511977722,2,C_30m_4h_1d,long
1,2022-11-08 06:00:00,2022-11-08 06:30:00,1.00138,1.0003664285714287,sl,-624.6754976857944,1,C_30m_4h_1d,long
1,2022-11-08 10:00:00,2022-11-08 10:00:00,1.00001,0.9986632142857144,sl,-618.4287427089365,0,C_30m_4h_1d,long
1,2022-11-08 11:30:00,2022-11-08 17:00:00,0.99913,1.0021103571428571,tp,1020.4074254698085,11,C_30m_4h_1d,long
1,2022-11-08 22:00:00,2022-11-09 11:30:00,1.00734,1.0043260714285713,sl,-622.4485295365452,27,C_30m_4h_1d,long
1,2022-11-09 17:30:00,2022-11-09 20:30:00,1.00413,1.000935,sl,-616.2240442411797,6,C_30m_4h_1d,long
1,2022-11-11 05:00:00,2022-11-11 08:00:00,1.01948,1.0232567857142856,tp,1016.7696729979466,6,C_30m_4h_1d,long
1,2022-11-11 17:30:00,2022-11-14 14:00:00,1.03129,1.0274007142857144,sl,-620.2295005287474,41,C_30m_4h_1d,long
1,2022-11-14 15:00:00,2022-11-14 16:30:00,1.0334999999999999,1.0302449999999999,sl,-614.0272055234599,3,C_30m_4h_1d,long
1,2022-11-15 03:30:00,2022-11-15 09:00:00,1.03241,1.0348975,tp,1013.1448891137693,11,C_30m_4h_1d,long
1,2022-11-15 20:00:00,2022-11-15 20:00:00,1.03856,1.0341296428571427,sl,-618.018382359363,0,C_30m_4h_1d,long
1,2022-11-15 22:00:00,2022-11-21 03:00:00,1.0364799999999998,1.0302667857142855,sl,-611.8381985357694,154,C_30m_4h_1d,long
