side,horizon_5m,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,8,22,50.0,0.0037339009354987866,-0.0004851339518711917,0.04981640725167125,0.04755799171660282,36.36363636363637,63.63636363636363,EURUSD,abc_only,3,3
short,8,22,54.54545454545454,0.01082339628458504,0.007123973818167043,0.05543295411549903,0.04155205705644439,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,8,44,52.27272727272727,0.007278648610041915,0.0042595802418465105,0.05262468068358514,0.044555024386523596,47.72727272727273,52.27272727272727,EURUSD,abc_only,3,3
long,10,22,54.54545454545454,0.008220614573073744,0.005600804305682529,0.053588962762735684,0.04991471286241778,36.36363636363637,63.63636363636363,EURUSD,abc_only,3,3
short,10,22,54.54545454545454,0.01254009708722335,0.0038155766500140866,0.06449606309876675,0.04328427822625348,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,10,44,54.54545454545454,0.010380355830148544,0.005561992417435007,0.059042512930751204,0.04659949554433563,47.72727272727273,52.27272727272727,EURUSD,abc_only,3,3
long,15,22,59.09090909090909,0.016465364157927202,0.020335577765949492,0.06859596575649776,0.057423177756811425,36.36363636363637,63.63636363636363,EURUSD,abc_only,3,3
short,15,22,59.09090909090909,0.013932054192162402,0.012206266198766882,0.08272556925133671,0.05064735126974655,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,15,44,59.09090909090909,0.015198709175044796,0.01359855701661165,0.07566076750391723,0.054035264513278995,47.72727272727273,52.27272727272727,EURUSD,abc_only,3,3
long,20,22,54.54545454545454,0.010989067808581403,0.010283979272317507,0.09162975462882522,0.06349475496875448,36.36363636363637,63.63636363636363,EURUSD,abc_only,3,3
short,20,22,59.09090909090909,0.012242695736440072,0.016432270971964185,0.08933483304647244,0.05674480534468208,59.09090909090909,40.90909090909091,EURUSD,abc_only,3,3
any,20,44,56.81818181818182,0.011615881772510734,0.012561194402715144,0.09048229383764883,0.06011978015671828,47.72727272727273,52.27272727272727,EURUSD,abc_only,3,3
long,1,1473,46.77528852681602,0.00040196386875211633,-0.0008724557010674942,0.01936161872999222,0.018471528713234594,46.77528852681602,50.91649694501018,EURUSD,abc_only_longOnly,2,3
any,1,1473,46.77528852681602,0.00040196386875211633,-0.0008724557010674942,0.01936161872999222,0.018471528713234594,46.77528852681602,50.91649694501018,EURUSD,abc_only_longOnly,2,3
long,2,1473,46.70739986422268,-0.0004973278048248295,-0.0009419743783030813,0.026605333372076385,0.02640752325015296,47.52206381534284,52.27427019687712,EURUSD,abc_only_longOnly,2,3
any,2,1473,46.70739986422268,-0.0004973278048248295,-0.0009419743783030813,0.026605333372076385,0.02640752325015296,47.52206381534284,52.27427019687712,EURUSD,abc_only_longOnly,2,3
long,3,1473,47.52206381534283,-0.0014271260691158792,-0.0009525986892304442,0.03174907969069589,0.03244035892663934,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
any,3,1473,47.52206381534283,-0.0014271260691158792,-0.0009525986892304442,0.03174907969069589,0.03244035892663934,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
long,5,1473,45.89273591310251,-0.0012779772182771579,-0.002740051330292591,0.0407400389813132,0.041847990589601085,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
any,5,1473,45.89273591310251,-0.0012779772182771579,-0.002740051330292591,0.0407400389813132,0.041847990589601085,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
long,8,1473,47.1826205023761,-0.002438336796804853,-0.0027412280701731074,0.051315159122445574,0.05388555811914591,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
any,8,1473,47.1826205023761,-0.002438336796804853,-0.0027412280701731074,0.051315159122445574,0.05388555811914591,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
long,10,1473,47.58995247793619,-0.0022264188350967482,-0.0018312167519828437,0.057077828047739455,0.060792261944636,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
any,10,1473,47.58995247793619,-0.0022264188350967482,-0.0018312167519828437,0.057077828047739455,0.060792261944636,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
long,15,1473,48.60828241683639,-0.002734722439074419,-0.0016780916741405219,0.07137095904082483,0.07450287192578513,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
any,15,1473,48.60828241683639,-0.002734722439074419,-0.0016780916741405219,0.07137095904082483,0.07450287192578513,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
long,20,1473,49.55872369314325,-0.0035985383504342394,0.0,0.08221410405481586,0.08667972501718436,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
any,20,1473,49.55872369314325,-0.0035985383504342394,0.0,0.08221410405481586,0.08667972501718436,47.657841140529534,52.342158859470466,EURUSD,abc_only_longOnly,2,3
long,1,22,36.36363636363637,-0.0021591007178076425,-0.002555961296444022,0.018325384881239352,0.02260499502303578,36.36363636363637,59.09090909090909,EURUSD,abc_only_longOnly,3,3
any,1,22,36.36363636363637,-0.0021591007178076425,-0.002555961296444022,0.018325384881239352,0.02260499502303578,36.36363636363637,59.09090909090909,EURUSD,abc_only_longOnly,3,3
long,2,22,50.0,0.0035484480008578416,0.0009004141712245153,0.032831934842886795,0.0282009830657512,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
any,2,22,50.0,0.0035484480008578416,0.0009004141712245153,0.032831934842886795,0.0282009830657512,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
long,3,22,50.0,0.007059256401840725,-2.7356724057549513e-05,0.037217277385027774,0.03165441343545022,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
any,3,22,50.0,0.007059256401840725,-2.7356724057549513e-05,0.037217277385027774,0.03165441343545022,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
long,5,22,50.0,0.009748003645448174,-0.00011572773182253349,0.04386018242163478,0.035242064745799155,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
any,5,22,50.0,0.009748003645448174,-0.00011572773182253349,0.04386018242163478,0.035242064745799155,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
long,8,22,50.0,0.0037339009354987866,-0.0004851339518711917,0.04981640725167125,0.04755799171660282,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
any,8,22,50.0,0.0037339009354987866,-0.0004851339518711917,0.04981640725167125,0.04755799171660282,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
long,10,22,54.54545454545454,0.008220614573073744,0.005600804305682529,0.053588962762735684,0.04991471286241778,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
any,10,22,54.54545454545454,0.008220614573073744,0.005600804305682529,0.053588962762735684,0.04991471286241778,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
long,15,22,59.09090909090909,0.016465364157927202,0.020335577765949492,0.06859596575649776,0.057423177756811425,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
any,15,22,59.09090909090909,0.016465364157927202,0.020335577765949492,0.06859596575649776,0.057423177756811425,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
long,20,22,54.54545454545454,0.010989067808581403,0.010283979272317507,0.09162975462882522,0.06349475496875448,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
any,20,22,54.54545454545454,0.010989067808581403,0.010283979272317507,0.09162975462882522,0.06349475496875448,36.36363636363637,63.63636363636363,EURUSD,abc_only_longOnly,3,3
long,1,2716,47.45949926362297,-1.932043083820333e-05,-0.0008491854968618066,0.019711558795433827,0.019645817873310524,47.45949926362297,50.36818851251841,EURUSD,abc_plus_dvmr_mv,2,7
short,1,1806,45.29346622369878,-0.0013653426062281801,-0.0010153734977062625,0.01904915024723643,0.019750407549242094,45.29346622369878,52.10409745293466,EURUSD,abc_plus_dvmr_mv,2,7
any,1,4522,46.59442724458204,-0.0005568958507307948,-0.0009090625081831258,0.01944700553624663,0.019687588982273903,46.59442724458204,51.061477222467936,EURUSD,abc_plus_dvmr_mv,2,7
long,2,2716,47.790868924889544,-0.0005095480591040726,-0.000851518496490055,0.02725580954843849,0.027638118895405905,48.45360824742268,51.435935198821795,EURUSD,abc_plus_dvmr_mv,2,7
short,2,1806,47.45293466223699,-0.0010564682994867963,-0.0009659917204206837,0.025946366693299517,0.02705819919199078,46.179401993355484,53.70985603543743,EURUSD,abc_plus_dvmr_mv,2,7
any,2,4522,47.65590446704998,-0.0007279775049535197,-0.0008722586405083409,0.0267328432069124,0.027406510097447538,47.545333923042904,52.34409553295002,EURUSD,abc_plus_dvmr_mv,2,7
