side,H,n,hit,mean,med,symbol,agent
long,20,1081,57.076780758556886,0.03410349071045469,0.01582028160101282,EURUSD,agree_seB_r2B_epB
short,20,1145,56.24454148471616,0.028574577591246146,0.011593050794107993,EURUSD,agree_seB_r2B_epB
any,20,2226,56.64869721473495,0.03125955292002622,0.013091902581355843,EURUSD,agree_seB_r2B_epB
long,5,10696,49.392296185489904,-0.0016192468018432352,0.0,US30,bb_rsi_sma_A
short,5,7598,48.34166886022638,-0.0012187058468874925,-0.00036298096720413313,US30,bb_rsi_sma_A
any,5,18294,48.955941838854265,-0.0014528911565084947,0.0,US30,bb_rsi_sma_A
long,10,10696,50.00934928945399,-0.0008384351565288392,0.00023170963915672806,US30,bb_rsi_sma_A
short,10,7598,47.13082390102659,-0.004388606267983965,-0.003053642184237014,US30,bb_rsi_sma_A
any,10,18294,48.81381873838417,-0.0023129185994519856,0.0,US30,bb_rsi_sma_A
long,20,10696,51.00037397157816,0.0015529165588505614,0.0021920490161237267,US30,bb_rsi_sma_A
short,20,7598,46.1042379573572,-0.0076437817822885045,-0.009980125861746372,US30,bb_rsi_sma_A
any,20,18294,48.96687438504428,-0.002266724525437982,0.0,US30,bb_rsi_sma_A
long,5,4374,48.49108367626886,0.0003814553493725678,0.0,US30,bb_rsi_sma_B
short,5,2709,48.6157253599114,-0.00437373254814376,0.0,US30,bb_rsi_sma_B
any,5,7083,48.53875476493011,-0.0014372378617486712,0.0,US30,bb_rsi_sma_B
long,10,4374,50.13717421124828,0.00383470831835716,0.0005627963356638155,US30,bb_rsi_sma_B
short,10,2709,48.98486526393503,-0.007433703039422719,0.0,US30,bb_rsi_sma_B
any,10,7083,49.69645630382607,-0.0004750652759144329,0.0,US30,bb_rsi_sma_B
long,20,4374,49.634202103337905,0.004966486857992148,0.0,US30,bb_rsi_sma_B
short,20,2709,47.21299372462163,-0.009694497196238976,-0.0050188835493612935,US30,bb_rsi_sma_B
any,20,7083,48.70817450232952,-0.0006408272466121319,-0.0002743062794153568,US30,bb_rsi_sma_B
long,5,2399,48.020008336807,0.00019207628748141423,-0.000556409210931616,US30,bb_rsi_sma_C
short,5,1057,49.57426679280984,-0.0052028963938625505,0.0,US30,bb_rsi_sma_C
any,5,3456,48.495370370370374,-0.001457948632709723,0.0,US30,bb_rsi_sma_C
long,10,2399,48.645268862025844,0.0007920609345808725,-0.0005770026145142469,US30,bb_rsi_sma_C
short,10,1057,47.30368968779565,-0.005529331258245267,-0.0017001964293608053,US30,bb_rsi_sma_C
any,10,3456,48.2349537037037,-0.0011413046753199466,-0.0010094299205633214,US30,bb_rsi_sma_C
long,20,2399,49.64568570237599,0.0009763510588119776,0.0,US30,bb_rsi_sma_C
short,20,1057,48.24976348155156,-0.0008408964096078983,-0.0017001964293608053,US30,bb_rsi_sma_C
any,20,3456,49.21875,0.00042055517509675543,0.0,US30,bb_rsi_sma_C
long,5,25,28.000000000000004,-0.013515129210679749,-0.015365467648007867,US30,dvmr_champ_1h_1d
any,5,37,32.432432432432435,-0.01570535979709528,-0.016141197324669912,US30,dvmr_champ_1h_1d
long,10,25,28.000000000000004,-0.06603315137131224,-0.024584748236812583,US30,dvmr_champ_1h_1d
any,10,37,32.432432432432435,-0.045813230863143456,-0.024584748236812583,US30,dvmr_champ_1h_1d
long,20,25,44.0,0.03631762389509071,-0.022103888274891993,US30,dvmr_champ_1h_1d
any,20,37,43.24324324324324,0.005533848309864937,-0.02370943611848079,US30,dvmr_champ_1h_1d
short,5,24,33.33333333333333,-0.057292937528759295,-0.05501246766063225,US30,dvmr_30m_4h_v2
any,5,40,37.5,-0.035204696762831764,-0.02308112020752429,US30,dvmr_30m_4h_v2
short,10,24,54.166666666666664,-0.05002616756632202,0.002549367755122011,US30,dvmr_30m_4h_v2
any,10,40,50.0,-0.0563427961344644,0.0005869611051397601,US30,dvmr_30m_4h_v2
short,20,24,41.66666666666667,-0.032002270159813405,-0.04044322303527412,US30,dvmr_30m_4h_v2
any,20,40,47.5,-0.0427345422348418,-0.00500380592511715,US30,dvmr_30m_4h_v2
long,5,25,28.000000000000004,-0.013515129210679749,-0.015365467648007867,US30,dvmr_champ_1h_1d_pulse
any,5,37,32.432432432432435,-0.01570535979709528,-0.016141197324669912,US30,dvmr_champ_1h_1d_pulse
long,10,25,28.000000000000004,-0.06603315137131224,-0.024584748236812583,US30,dvmr_champ_1h_1d_pulse
any,10,37,32.432432432432435,-0.045813230863143456,-0.024584748236812583,US30,dvmr_champ_1h_1d_pulse
long,20,25,44.0,0.03631762389509071,-0.022103888274891993,US30,dvmr_champ_1h_1d_pulse
any,20,37,43.24324324324324,0.005533848309864937,-0.02370943611848079,US30,dvmr_champ_1h_1d_pulse
long,5,590,47.96610169491525,-0.006203470791169969,-0.0005792426584898564,US30,mv_best_quality_30m_4h_long
any,5,590,47.96610169491525,-0.006203470791169969,-0.0005792426584898564,US30,mv_best_quality_30m_4h_long
long,10,590,51.01694915254237,-0.004130795954635934,0.0029651735720750945,US30,mv_best_quality_30m_4h_long
