side,horizon_m1,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,60,3600,54.05555555555556,0.010382852791207323,0.006552328093209945,0.07377788672478065,0.060173568537058,53.361111111111114,46.638888888888886,EURUSD,abc_plus_research,2,10
short,60,2715,54.7329650092081,0.012026416433648799,0.007683114222291572,0.0755966474608185,0.05376537057208191,55.58011049723757,44.41988950276243,EURUSD,abc_plus_research,2,10
any,60,6315,54.34679334916864,0.011089468038907816,0.007012903742877241,0.07455982423837411,0.05741850005330343,54.315122723673795,45.684877276326205,EURUSD,abc_plus_research,2,10
long,5,1553,56.53573728267869,0.0065110720524806705,0.0036434186196945,0.024663520601131257,0.017510386300113458,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research,3,10
short,5,948,63.50210970464135,0.009379339820784717,0.0064400531227994575,0.024062964732446766,0.012931852676346828,59.177215189873415,40.71729957805907,EURUSD,abc_plus_research,3,10
any,5,2501,59.17632946821272,0.007598284305320429,0.004603966777765001,0.024435880871617903,0.01577490054428348,56.25749700119952,43.702518992403036,EURUSD,abc_plus_research,3,10
long,10,1553,59.36896329684481,0.008686282072582267,0.005515821213843699,0.03617803744165195,0.02506920724654669,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research,3,10
short,10,948,68.45991561181435,0.013876063395454405,0.011008211738137604,0.03440876150239606,0.01665446918981046,59.28270042194093,40.71729957805907,EURUSD,abc_plus_research,3,10
any,10,2501,62.81487405037984,0.01065346027893284,0.007811279487587878,0.03550739626195799,0.021879614412565904,56.297481007596964,43.702518992403036,EURUSD,abc_plus_research,3,10
long,20,1553,59.30457179652285,0.011567635301877512,0.00807689201195067,0.05034617626707791,0.03431945095117672,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research,3,10
short,20,948,68.88185654008439,0.019841715148376005,0.015339171729431167,0.049372311787134894,0.02294026572744679,59.28270042194093,40.71729957805907,EURUSD,abc_plus_research,3,10
any,20,2501,62.93482606957217,0.014703911869042874,0.010966854790403453,0.04997703451298516,0.03000618921903119,56.297481007596964,43.702518992403036,EURUSD,abc_plus_research,3,10
long,30,1553,59.755312298776566,0.013331556060908762,0.00988126019004117,0.06088605027747973,0.04183571531504935,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research,3,10
short,30,948,65.18987341772153,0.01927335147835962,0.013986711769545886,0.06031655299067928,0.029667522071651093,59.28270042194093,40.71729957805907,EURUSD,abc_plus_research,3,10
any,30,2501,61.81527389044382,0.015583783992033676,0.011903998827930948,0.060670183253134724,0.03722338137073046,56.297481007596964,43.702518992403036,EURUSD,abc_plus_research,3,10
long,60,1553,55.505473277527365,0.011286346395707967,0.008198363970916165,0.0811879228354281,0.06188879587112177,54.47520927237605,45.52479072762395,EURUSD,abc_plus_research,3,10
short,60,948,59.38818565400844,0.02130646517345426,0.015322629009837474,0.08363478351942204,0.04816584783938386,59.28270042194093,40.71729957805907,EURUSD,abc_plus_research,3,10
any,60,2501,56.97720911635346,0.015084456192310717,0.010164495417498007,0.08211540141536662,0.05668713464197841,56.297481007596964,43.702518992403036,EURUSD,abc_plus_research,3,10
